source,headline
https://urdu.geo.tv/category/pakistan,ناکام سیاستدان سیاست چمکانےکیلئے نہروں کے معاملےکو ہوا دے رہے ہیں: احسن اقبال
https://urdu.geo.tv/category/pakistan,بنوں کینٹ حملے میں ہلاک 16 دہشتگردوں میں سے 2 افغان شہری نکلے
https://urdu.geo.tv/category/pakistan,وزیراعظم کی بلاول سے ملاقات، دریائے سندھ سے نہریں نکالنے کا معاملہ حل کرنے کی یقین دہانی کرادی
https://urdu.geo.tv/category/pakistan,سندھ حکومت کا سرکاری ملازمین کو عید سے قبل رواں ماہ کی تنخواہ دینے کا اعلان
https://urdu.geo.tv/category/pakistan,انجکشن پاؤڈر تھا اسکو محلول بنانے میں غلطی ہوئی: وزیر صحت پنجاب
https://urdu.geo.tv/category/pakistan,ذاتی و سیاسی مفاد ایک طرف رکھ کر قومی مفاد مقدم رکھیں، دریائے سندھ سے نہریں نکالنے کے یکطرفہ فیصلے کی حمایت نہیں کر سکتا: صدر
https://urdu.geo.tv/category/pakistan,وزیر ریلوے کا عید پر خصوصی ٹرینیں چلانے اور کرایوں میں کمی کا اعلان
https://urdu.geo.tv/category/pakistan,مسئلہ یہ ہے کہ آرمی ایکٹ کے ماتحت جرائم اگر سویلینز کریں تو کیا ہوگا؟ جج آئینی بینچ
https://urdu.geo.tv/category/pakistan,مصطفیٰ قتل کیس: پراسیکیوٹرکی ارمغان سے ملنے والی تمام چیزیں فارنزک کیلئے بھیجنے کی ہدایت
https://urdu.geo.tv/category/pakistan,طورخم گزرگاہ پر کشیدگی ختم کرنے کیلئے پاک افغان جرگہ، 11 مارچ تک سیز فائر پر اتفاق
https://urdu.geo.tv/category/pakistan,سپریم کورٹ نے 9 اور 10 مئی کے رواں اور آئندہ ہفتے مقرر تمام مقدمات ڈی لسٹ کردیے
https://urdu.geo.tv/category/pakistan,سپریم کورٹ: سپرٹیکس کیس کی سماعت روزانہ کی بنیاد پر کرنے کا فیصلہ
https://urdu.geo.tv/category/pakistan,آکسفورڈ یونیورسٹی کی بحث میں پی ٹی آئی نمائندے کو شکست اور مجھے فتح ہوئی: احسن اقبال
https://urdu.geo.tv/category/pakistan,وفاقی وزیر اویس لغاری کا 6 سال میں گردشی قرضے ختم کرنے کا دعویٰ
https://urdu.geo.tv/category/pakistan,نئی متوقع امریکی سفری پابندیوں میں پاکستان کا نام شامل نہ ہونے کی امید
https://urdu.geo.tv/category/pakistan,چین، ترکیہ، سعودیہ سمیت 8 ملکوں سے مزید 67 پاکستانی بے دخل، 14 زیرحراست
https://urdu.geo.tv/category/pakistan,لاہور: میو اسپتال میں انجیکشن کے مبینہ ری ایکشن سے مریضہ جاں بحق، 15 مریض متاثر
https://urdu.geo.tv/category/pakistan,پاکستانی لڑکیوں کو شادی کے نام پر چین اسمگل کرنیوالےگروہ کے 3 ملزمان گرفتار
https://urdu.geo.tv/category/pakistan,دہشتگرد مساجدکو نشانہ بنا رہے ہیں، یہ مجاہد نہیں قاتل اور مجرم ہیں: مولانا فضل الرحمان
https://urdu.geo.tv/category/pakistan,سال 25۔2024 میں خواتین پارلیمنٹیرینز کی کارکردگی کیسی رہی؟ فافن کی رپورٹ جاری
https://urdu.geo.tv/category/pakistan,ڈیرہ اسماعیل خان میں باپ نے بیٹی کو ونی ہونے سے بچانے کے لیے جان دیدی
https://urdu.geo.tv/category/pakistan,یونان کشتی حادثےکا مرکزی ملزم عثمان ججہ گرفتار ہوگیا
https://urdu.geo.tv/category/pakistan,نوشہرہ: وزیراعظم کا کوآرڈینیٹر بننے پر اختیار ولی کےگھر ہوائی فائرنگ کی ویڈیو وائرل
https://urdu.geo.tv/category/pakistan,حکومت کا 15مارچ کو یوم تحفظ ناموس رسالت ﷺ منانےکا فیصلہ
https://urdu.geo.tv/category/pakistan,پنجاب میں سکیورٹی ہائی الرٹ، 24 گھنٹوں کے دوران 436 سرچ اینڈ سویپ آپریشنز کیے گئے
https://urdu.geo.tv/category/pakistan,کوٹ ادو: چھاپے کے دوران خواتین سے بدسلوکی کے الزام پر اہلکاروں اور ایس ایچ او کو شوکاز نوٹس جاری
https://urdu.geo.tv/category/pakistan,وفاقی وزیر کا اوورسیز پاکستانیوں کے پاسپورٹ بلاک کرنے کا نوٹس، فوری انکوائری کا حکم
https://urdu.geo.tv/category/pakistan,رمضان میں پیپلز بس سروس کے اوقات میں توسیع کا اعلان
https://urdu.geo.tv/category/pakistan,کوئی مزدوربھوکا نہ سوئے، مزدوروں کی فلاح کیلئے پلان طلب، وزیر اعلیٰ نے کئی منصوبوں کی منظوری دیدی
https://urdu.geo.tv/category/pakistan,کراچی میں گرمی کی شدت میں اضافہ، آج پارہ 39 ڈگری تک جانے کا امکان
https://urdu.geo.tv/category/pakistan,کیا بیمار کیلئے روزہ معاف ہے یا کفارہ ہے؟ کفارہ کیسے ادا کیا جائے؟
https://urdu.geo.tv/category/pakistan,پی ٹی آئی پشاور کے اجلاس میں کے پی حکومت کی کارکردگی پر اظہار عدم اطمینان، احتجاج کا عندیہ
